"","Phase","species","Competition_treatment","pair_code","competitive_rank","sample_size","trait","RII","RII_se","ITV","ITV_se"
"1","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C. glauca-C. myrsinifolia","Superior",39,"multi-traits",-0.221881897522223,0.16781646263067,18.5973868100414,0.300649958808623
"2","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C. glauca-C. sclerophylla","Superior",44,"multi-traits",-0.230406404698181,0.347393854155474,18.5973868100414,0.300649958808623
"3","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C. glauca-Q. chenii","Inferior",31,"multi-traits",-0.314723656921956,0.979104000661536,18.5973868100414,0.300649958808623
"4","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C. myrsinifolia-C. glauca","Inferior",41,"multi-traits",-0.258943336925752,0.255865653840506,9.40843454847362,0.118861932100739
"5","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C. myrsinifolia-Q. chenii","Inferior",49,"multi-traits",-0.351265584590523,0.269321832401235,9.40843454847362,0.118861932100739
"6","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C. sclerophylla-C. glauca","Inferior",40,"multi-traits",-0.194082404969194,1.80093106072393,84.4992493716625,1.01214243093205
"7","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H. acerba-P. sheareri","Superior",45,"multi-traits",-0.060366822675796,0.0176026628977019,1.33187012379213,0.0246917655686608
"8","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H. acerba-Q. chenii","Superior",41,"multi-traits",-0.0584998514601088,0.0159050770561524,1.33187012379213,0.0246917655686608
"9","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L. harlandii-S. superba","Superior",44,"multi-traits",-0.246226603276061,0.908068155612861,72.8501753842238,0.987051468701824
"10","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P. sheareri-H. acerba","Inferior",42,"multi-traits",-0.311960051911158,0.0632359079681482,5.91300164507762,0.0784337483579661
"11","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P. sheareri-Q. chenii","Inferior",44,"multi-traits",-0.430815486140811,0.358577359984925,5.91300164507762,0.0784337483579661
"12","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q. chenii-C. glauca","Superior",27,"multi-traits",0.000180135948856328,0.0134375762621625,0.266706050805314,0.00289268064148789
"13","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q. chenii-C. myrsinifolia","Superior",52,"multi-traits",-0.20818105528762,0.00932755375192629,0.266706050805314,0.00289268064148789
"14","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q. chenii-H. acerba","Inferior",42,"multi-traits",-0.326363229947188,0.0441275758983597,0.266706050805314,0.00289268064148789
"15","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q. chenii-P. sheareri","Superior",43,"multi-traits",-0.165065028724463,0.0201398862159319,0.266706050805314,0.00289268064148789
"16","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S. superba-L. harlandii","Inferior",37,"multi-traits",-0.375068429858871,1.81170829742371,30.6990426172341,0.468783555744176
"17","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","all","Inferior",NA,"multi-traits",-0.351265584590523,0.514706928254868,20.5881571546057,0.388767276060886
"18","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","all","Superior",NA,"multi-traits",-0.20818105528762,0.41607350518686,14.1886009255383,0.462958644734157
"33","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",43,"multi-traits",-0.221881897522223,0.16781646263067,12.6209921806626,0.16781646263067
"34","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",43,"multi-traits",-0.230406404698181,0.347393854155474,22.8362018417882,0.347393854155474
"35","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",43,"multi-traits",-0.314723656921956,0.979104000661536,67.3651932598051,0.979104000661536
"36","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",44,"multi-traits",-0.258943336925752,0.255865653840506,16.6376409544604,0.255865653840506
"37","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",44,"multi-traits",-0.351265584590523,0.269321832401235,15.7533047170106,0.269321832401235
"38","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",43,"multi-traits",-0.194082404969194,1.80093106072393,141.451078781095,1.80093106072393
"39","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",44,"multi-traits",-0.060366822675796,0.0176026628977019,0.949940055673476,0.0176026628977019
"40","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",44,"multi-traits",-0.0584998514601088,0.0159050770561524,1.22920605086893,0.0159050770561524
"41","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",41,"multi-traits",-0.246226603276061,0.908068155612861,68.3957852653985,0.908068155612861
"42","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"multi-traits",-0.311960051911158,0.0632359079681482,5.06371136321669,0.0632359079681482
"43","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",42,"multi-traits",-0.430815486140811,0.358577359984925,23.9430286979361,0.358577359984925
"44","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",45,"multi-traits",0.000180135948856328,0.0134375762621625,1.79407416659232,0.0134375762621625
"45","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",45,"multi-traits",-0.20818105528762,0.00932755375192629,0.535621264889093,0.00932755375192629
"46","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-H. acerba","Inferior",45,"multi-traits",-0.326363229947188,0.0441275758983597,3.10980326845041,0.0441275758983597
"47","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-P. sheareri","Superior",45,"multi-traits",-0.165065028724463,0.0201398862159319,1.11690869829231,0.0201398862159319
"48","Phase I: pairwise homogeneous experiment","S. superba","Competition","S. superba-L. harlandii","Inferior",43,"multi-traits",-0.375068429858871,1.81170829742371,136.776827122277,1.81170829742371
"49","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","all","Inferior",NA,"multi-traits",-0.351265584590523,0.514706928254868,51.2625735205314,0.514706928254868
"50","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","all","Superior",NA,"multi-traits",-0.20818105528762,0.41607350518686,13.6848411905207,0.41607350518686
"65","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"Chl",-0.20061820287413,0.16781646263067,0.116174175918661,NA
"66","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"Chl",-0.231588784981267,0.347393854155474,0.116174175918661,NA
"67","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"Chl",-0.340228733806371,0.979104000661536,0.116174175918661,NA
"68","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"Chl",-0.252084663493536,0.255865653840506,0.113985223079147,NA
"69","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"Chl",-0.340023730506761,0.269321832401235,0.113985223079147,NA
"70","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"Chl",-0.235505239615598,1.80093106072393,0.150257884906649,NA
"71","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"Chl",-0.0881310486499513,0.0176026628977019,0.240571835296552,NA
"72","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"Chl",-0.10146734967176,0.0159050770561524,0.240571835296552,NA
"73","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"Chl",-0.210393280708171,0.908068155612861,0.148906030341453,NA
"74","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"Chl",-0.357118072953801,0.0632359079681482,0.111011240466635,NA
"75","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"Chl",-0.404847094317761,0.358577359984925,0.111011240466635,NA
"76","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"Chl",-0.00356829219354806,0.0134375762621625,0.159616128870268,NA
"77","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"Chl",-0.178300675004185,0.00932755375192629,0.159616128870268,NA
"78","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"Chl",-0.306634081097522,0.0441275758983597,0.159616128870268,NA
"79","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"Chl",-0.165569106808909,0.0201398862159319,0.159616128870268,NA
"80","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"Chl",-0.330327767442783,1.81170829742371,0.248182692252192,NA
"81","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"LDMC",-0.20061820287413,0.16781646263067,0.122839173927615,NA
